COD_CONTA,DSC_ESTADO_CIVIL,DSC_SUITABILITY
402,CASADO(A) COM ESTRANGEIRO(A),AGRESSIVO
403,SOLTEIRO(A),AGRESSIVO
404,SOLTEIRO(A),AGRESSIVO
405,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
406,CASADO(A) COM BRASILEIRO(A)  NATO(A),MODERADO
407,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
408,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
409,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
410,CASADO(A) COM BRASILEIRO(A)  NATO(A),MODERADO
411,SOLTEIRO(A),AGRESSIVO
412,SOLTEIRO(A),AGRESSIVO
413,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
414,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
415,DIVORCIADO(A),AGRESSIVO
416,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
417,SOLTEIRO(A),AGRESSIVO
418,SOLTEIRO(A),AGRESSIVO
419,UNIÃO ESTÁVEL,AGRESSIVO
420,SOLTEIRO(A),AGRESSIVO
421,DIVORCIADO(A),MODERADO
422,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
423,SOLTEIRO(A),AGRESSIVO
424,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
425,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
426,CASADO(A) COM BRASILEIRO(A)  NATO(A),MODERADO
427,SOLTEIRO(A),AGRESSIVO
428,UNIÃO ESTÁVEL,AGRESSIVO
429,DIVORCIADO(A),AGRESSIVO
430,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
431,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
432,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
433,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
434,SOLTEIRO(A),MODERADO
435,SOLTEIRO(A),MODERADO
436,SOLTEIRO(A),AGRESSIVO
437,SOLTEIRO(A),NÃO INFORMADO
438,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
439,SOLTEIRO(A),AGRESSIVO
440,DIVORCIADO(A),AGRESSIVO
441,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
442,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
443,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
444,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
445,SOLTEIRO(A),MODERADO
446,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
447,SOLTEIRO(A),AGRESSIVO
448,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
449,SOLTEIRO(A),AGRESSIVO
450,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
451,SOLTEIRO(A),AGRESSIVO
452,SOLTEIRO(A),AGRESSIVO
453,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
